"texto","categoria"
"Asunto: Actualización reglamento estudiantil. La Vicerrectoría Académica comunica modificaciones al reglamento estudiantil. Vigencia desde 8 de septiembre.","anuncio"
"Asunto: Programa Erasmus+ 2026. Convocatoria abierta para movilidad académica en universidades europeas mediante el programa Erasmus+. Cupos limitados.","intercambio"
"Asunto: Reconocimiento liderazgo. La oficina de Bienestar le reconoce por su destacado liderazgo estudiantil durante el periodo 2026-2. Felicitaciones.","logro"
"Asunto: Recordatorio entrega Inglés I. Recuerda que la entrega del taller 4 de Inglés I vence este miércoles. Sube tu trabajo en Moodle antes de las 11:59 PM. Atentamente, Diego Alejandro Muñoz.","tarea"
"Asunto: Pasantía investigación exterior. Convocatoria de pasantías de investigación en Brasil para estudiantes de últimos semestres de ingeniería.","intercambio"
"Asunto: Entrega informe final Machine Learning. Profesor Sebastián Arango recuerda que el informe final debe entregarse impreso y digital antes del 27 de febrero.","tarea"
"Asunto: Pasantía en el extranjero. La oficina de Internacionalización ofrece pasantías profesionales en empresas de Chile para estudiantes en último semestre.","intercambio"
"Asunto: Cuestionario Estadística. Cuestionario disponible en SICAU sobre los temas de POO. Fecha límite: lunes a las 11:59 PM.","tarea"
"Asunto: Encuesta clima organizacional. La oficina de Talento Humano realiza encuesta sobre clima organizacional. Tu participación es voluntaria pero valiosa.","otro"
"Asunto: Mención honorífica. El consejo académico le otorga mención honorífica por su trabajo de grado titulado 'App de gestión académica'.","logro"
"Asunto: Parcial 2 Diseño Industrial I. El segundo parcial de Diseño Industrial I será el miércoles 3 de marzo. Temas: matrices. Llevar calculadora y documento de identidad.","tarea"
"Asunto: Resultado examen supletorio. El resultado del examen supletorio de Sistemas de Potencia ya fue cargado al sistema académico.","nota"
"Asunto: Material disponible biblioteca. Nuevo material bibliográfico disponible sobre alimentación saludable en la biblioteca. Aprovecha estos recursos para tus proyectos.","otro"
"Asunto: Proyecto seleccionado expo. Su proyecto integrador fue seleccionado entre los mejores del semestre y será expuesto en la muestra institucional.","logro"
"Asunto: Curso de verano internacional. Cursos de verano en universidades de Portugal con créditos homologables. Oportunidad de movilidad corta.","intercambio"
"Asunto: Taller 1 - Programación I. Buenas tardes, en SICAU encuentran el taller número 1 correspondiente a la unidad de matrices. Entrega individual antes del lunes 10 de febrero.","tarea"
"Asunto: Nota disponible Máquinas Eléctricas. Tu nota del trabajo de Máquinas Eléctricas ya fue cargada. Consulta en SICAU. Si tienes inquietudes, contacta al profesor Sandra Milena López.","nota"
"Asunto: Felicitaciones por excelencia académica. Estimado estudiante, en nombre del consejo académico le felicitamos por obtener el mejor promedio del semestre en Tecnología en Producción Industrial. Su esfuerzo es ejemplar.","logro"
"Asunto: Felicitaciones por excelencia académica. Estimado estudiante, en nombre del consejo académico le felicitamos por obtener el mejor promedio del semestre en Diseño Industrial. Su esfuerzo es ejemplar.","logro"
"Asunto: Tarea Moodle - Cálculo II. Se habilitó en Moodle la tarea sobre estadística inferencial. Tienen hasta el martes para resolverla. Solo un intento permitido.","tarea"
"Asunto: Programa Erasmus+ 2027. Convocatoria abierta para movilidad académica en universidades europeas mediante el programa Erasmus+. Cupos limitados.","intercambio"
"Asunto: Beca DAAD para Alemania. La beca DAAD ofrece la posibilidad de estudiar un semestre en universidades alemanas. Postulaciones hasta el 1 de marzo.","intercambio"
"Asunto: Promedio acumulado actualizado. Tu promedio acumulado fue actualizado tras el cierre del periodo. Consulta tu situación académica en SICAU.","nota"
"Asunto: Movilidad académica con MIT. Oportunidad única: programa de movilidad académica con el MIT. Selección por mérito académico y nivel de inglés.","intercambio"
"Asunto: Cambio de aula Estadística. La clase de Estadística con el profesor Catalina Ospina se traslada al aula C155 a partir de la próxima sesión.","anuncio"
"Asunto: Notas finales Redes de Computadores. Las notas finales de Redes de Computadores ya están disponibles en SICAU. Plazo para reclamos: 3 días hábiles después de la publicación.","nota"
"Asunto: Certificado destacado. Felicitaciones por su participación destacada en el programa institucional. Su certificado está disponible para descarga.","logro"
"Asunto: Programa Erasmus+ 2026. Convocatoria abierta para movilidad académica en universidades europeas mediante el programa Erasmus+. Cupos limitados.","intercambio"
"Asunto: Material disponible biblioteca. Nuevo material bibliográfico disponible sobre salud mental en la biblioteca. Aprovecha estos recursos para tus proyectos.","otro"
"Asunto: Calificación proyecto final. Tu nota del proyecto final de Máquinas Eléctricas ya está disponible. Comentarios y retroalimentación en el portal estudiantil.","nota"
"Asunto: Horario biblioteca extendido. Durante temporada de exámenes, la biblioteca extiende su horario hasta las 10 PM de lunes a viernes.","otro"
"Asunto: Evento de bienvenida primer semestre. La Institución da la bienvenida a los nuevos estudiantes el próximo jueves con actividades de integración.","evento"
"Asunto: Ceremonia de grados. Invitación a la ceremonia de grados del periodo 2026-2. Fecha: 3 de agosto, 10:00 PM, Teatro Pablo Tobón Uribe.","evento"
"Asunto: Artículo aceptado revista. El artículo que envió como autor estudiantil fue aceptado para publicación en la revista institucional.","logro"
"Asunto: Día de la Innovación. Muestra de proyectos estudiantiles innovadores. 24 de noviembre, plazoleta principal del campus.","evento"
"Asunto: Inicio de matrículas 2026-1. La oficina de Registro y Control Académico informa que las matrículas para el periodo 2026-1 inician el 5 de mayo.","anuncio"
"Asunto: Charla de emprendimiento. Egresados destacados del Pascual Bravo compartirán sus experiencias el viernes 28 en el auditorio. Entrada libre.","evento"
"Asunto: Actividad pendiente en Microsoft Teams. Se le recuerda que tiene actividades pendientes por entregar en Diseño Industrial I. Por favor revisar el cronograma actualizado.","tarea"
"Asunto: Informe de laboratorio Estadística. Profesor Diego Alejandro Muñoz solicita el informe de la práctica 6 antes del 20 de noviembre. Formato APA, máximo 10 páginas.","tarea"
"Asunto: Feria del libro académico. Se realizará la Feria del Libro Académico con descuentos especiales en libros técnicos y de ingeniería.","evento"
"Asunto: Invitación: Conferencia de energías renovables. El Pascual Bravo invita a toda la comunidad estudiantil a la conferencia 'Mujeres en STEM' el martes 15 de mayo a las 7:00 AM en el auditorio principal.","evento"
"Asunto: Horario biblioteca extendido. Durante temporada de exámenes, la biblioteca extiende su horario hasta las 10 PM de lunes a viernes.","otro"
"Asunto: Foro académico automatización. La facultad de ingenierías organiza foro académico sobre automatización. Participación de docentes y estudiantes invitados.","evento"
"Asunto: Ceremonia de grados. Invitación a la ceremonia de grados del periodo 2025-2. Fecha: 9 de agosto, 8:00 AM, Teatro Pablo Tobón Uribe.","evento"
"Asunto: Notas finales Termodinámica. Las notas finales de Termodinámica ya están disponibles en SICAU. Plazo para reclamos: 3 días hábiles después de la publicación.","nota"
"Asunto: Paro académico. Se informa a la comunidad estudiantil que se ha decretado paro académico por día festivo. Las clases se reanudarán el 27 de diciembre.","anuncio"
"Asunto: Cuestionario Física I. Cuestionario disponible en Microsoft Teams sobre los temas de integrales. Fecha límite: miércoles a las 11:59 PM.","tarea"
"Asunto: Taller práctico automatización. La facultad organiza taller práctico de automatización dirigido por Mónica Bedoya. Cupos limitados, inscripción previa requerida.","evento"
"Asunto: Beca completa estudios exterior. Convocatoria para beca completa de estudios en universidades de España. Cubre matrícula, manutención y tiquetes.","intercambio"
"Asunto: Invitación: Conferencia de internet de las cosas. El Pascual Bravo invita a toda la comunidad estudiantil a la conferencia 'Mujeres en STEM' el jueves 17 de junio a las 1:00 AM en el auditorio principal.","evento"
"Asunto: Reporte de notas semestre. El reporte oficial de notas del semestre ya está disponible para descarga en el portal estudiantil.","nota"
"Asunto: Mención honorífica. El consejo académico le otorga mención honorífica por su trabajo de grado titulado 'Plataforma educativa interactiva'.","logro"
"Asunto: Semana de la Ingeniería. Del 15 al 10 de mayo se celebra la Semana de la Ingeniería con conferencias, talleres y actividades culturales.","evento"
"Asunto: Movilidad estudiantil internacional. La Institución informa que la convocatoria de movilidad estudiantil hacia Estados Unidos para el semestre 2026-2 ya está abierta.","intercambio"
"Asunto: Cambio plan estudios. Recordatorio: si cambiaste de plan de estudios, valida tus materias en la oficina de Registro y Control.","otro"
"Asunto: Actualización datos personales. Le solicitamos actualizar sus datos personales en SICAU. Es requisito para continuar el proceso académico del próximo semestre.","otro"
"Asunto: Encuesta evaluación docente. Recordatorio: evalúe a sus docentes en SICAU antes del cierre del semestre. Es requisito para ver sus notas.","otro"
"Asunto: Becas para estudios en exterior. Convocatorias internacionales 2026: estudios de posgrado en Portugal. Información completa en la oficina de Internacionalización.","intercambio"
"Asunto: Quiz programado Investigación de Operaciones. Recordatorio: el próximo miércoles se realizará el quiz 1 de Investigación de Operaciones. Temas a evaluar: termodinámica. Material de apoyo disponible en Moodle.","tarea"
"Asunto: Movilidad estudiantil internacional. La Institución informa que la convocatoria de movilidad estudiantil hacia Corea del Sur para el semestre 2026-1 ya está abierta.","intercambio"
"Asunto: Pasantía en el extranjero. La oficina de Internacionalización ofrece pasantías profesionales en empresas de Reino Unido para estudiantes en último semestre.","intercambio"
"Asunto: Notas finales Inglés II. Las notas finales de Inglés II ya están disponibles en SICAU. Plazo para reclamos: 3 días hábiles después de la publicación.","nota"
"Asunto: Suspensión de clases. La Institución Universitaria Pascual Bravo informa que el día sábado 28 de noviembre no habrá actividades académicas debido a mantenimiento general. Las clases se reprogramarán.","anuncio"
"Asunto: Entrega informe final Inglés III. Profesor Ana Maria Gómez recuerda que el informe final debe entregarse impreso y digital antes del 17 de febrero.","tarea"
"Asunto: Horario biblioteca extendido. Durante temporada de exámenes, la biblioteca extiende su horario hasta las 10 PM de lunes a viernes.","otro"
"Asunto: Conferencia magistral - vehículos eléctricos. Conferencia magistral con expositor invitado de Bancolombia. Tema: 'Ingeniería para la sostenibilidad'. Cupo limitado.","evento"
"Asunto: Conferencia magistral - vehículos eléctricos. Conferencia magistral con expositor invitado de ISAGEN. Tema: 'Ingeniería para la sostenibilidad'. Cupo limitado.","evento"
"Asunto: Reporte de notas semestre. El reporte oficial de notas del semestre ya está disponible para descarga en el portal estudiantil.","nota"
"Asunto: Resultado parcial Ética Profesional. Estudiante, el resultado de tu parcial 1 de Ética Profesional ya está cargado. Profesor Oscar Mauricio Ramírez.","nota"
"Asunto: Sustentación proyecto Desarrollo Web. La sustentación del proyecto de Desarrollo Web será el 5 de noviembre. Cada grupo tendrá 15 minutos para exponer.","tarea"
"Asunto: Feria del libro académico. Se realizará la Feria del Libro Académico con descuentos especiales en libros técnicos y de ingeniería.","evento"
"Asunto: Evento cultural - Festival de música. La oficina de Bienestar invita al Festival de Música del Pascual Bravo. Bandas estudiantiles, entrada libre.","evento"
"Asunto: Movilidad estudiantil internacional. La Institución informa que la convocatoria de movilidad estudiantil hacia Francia para el semestre 2027-1 ya está abierta.","intercambio"
"Asunto: Resultado parcial Desarrollo Web. Estudiante, el resultado de tu parcial 3 de Desarrollo Web ya está cargado. Profesor Mónica Bedoya.","nota"
"Asunto: Beca completa estudios exterior. Convocatoria para beca completa de estudios en universidades de Estados Unidos. Cubre matrícula, manutención y tiquetes.","intercambio"
"Asunto: Inicio de matrículas 2027-1. La oficina de Registro y Control Académico informa que las matrículas para el periodo 2027-1 inician el 8 de enero.","anuncio"
"Asunto: Primer lugar concurso. Su equipo obtuvo el primer lugar en el concurso de diseño representando a la institución. Felicitaciones.","logro"
"Asunto: Primer lugar concurso. Su equipo obtuvo el primer lugar en el concurso de diseño representando a la institución. Felicitaciones.","logro"
"Asunto: Nueva red WiFi campus. Se habilita la nueva red WiFi 'PB-Estudiantes' en todos los bloques. Ingrese con sus credenciales institucionales.","otro"
"Asunto: Nueva política de asistencia. La facultad informa que se aplicará nueva política de asistencia. La inasistencia superior al 20% causa pérdida automática de la materia.","anuncio"
"Asunto: Felicitaciones graduación con honores. Estimado estudiante, lo felicitamos por culminar sus estudios de Ingeniería de Sistemas con honores académicos.","logro"
"Asunto: Recordatorio entrega Programación II. Recuerda que la entrega del taller 2 de Programación II vence este viernes. Sube tu trabajo en Moodle antes de las 11:59 PM. Atentamente, Mauricio Cardona.","tarea"
"Asunto: Notas práctica laboratorio. Las calificaciones de las prácticas de laboratorio de Física I fueron publicadas en Moodle.","nota"
"Asunto: Mantenimiento del campus. El bloque C estará cerrado el viernes por mantenimiento eléctrico. Las clases se trasladarán al bloque B.","anuncio"
"Asunto: Mantenimiento del campus. El bloque C estará cerrado el sábado por mantenimiento eléctrico. Las clases se trasladarán al bloque A.","anuncio"
"Asunto: Resultado quiz Sistemas de Potencia. El profesor Beatriz Elena Ruiz publicó las notas del quiz 2 en Microsoft Teams. Revisa tu calificación.","nota"
"Asunto: Notas finales Estadística. Las notas finales de Estadística ya están disponibles en SICAU. Plazo para reclamos: 3 días hábiles después de la publicación.","nota"
"Asunto: Cuestionario Inglés II. Cuestionario disponible en SICAU sobre los temas de fluidos. Fecha límite: lunes a las 11:59 PM.","tarea"
"Asunto: Actualización reglamento estudiantil. La Vicerrectoría Académica comunica modificaciones al reglamento estudiantil. Vigencia desde 11 de octubre.","anuncio"
"Asunto: Calificación habilitación Investigación de Operaciones. Estudiante, tu calificación de la habilitación de Investigación de Operaciones fue publicada. Consulta SICAU.","nota"
"Asunto: Nueva red WiFi campus. Se habilita la nueva red WiFi 'PB-Estudiantes' en todos los bloques. Ingrese con sus credenciales institucionales.","otro"
"Asunto: Notas sustentación proyecto. Las notas de la sustentación del proyecto integrador fueron publicadas por el profesor Hernán Darío Pérez.","nota"
"Asunto: Informe de laboratorio Programación II. Profesor Alexander Marín solicita el informe de la práctica 1 antes del 18 de septiembre. Formato APA, máximo 10 páginas.","tarea"
"Asunto: Práctica de laboratorio Constitución Política. Estudiantes, para la próxima sesión de Constitución Política deben traer el preinforme de la práctica 2 sobre fluidos. Sin preinforme no se permite el ingreso al laboratorio.","tarea"
"Asunto: Renovación carné estudiantil. Recordatorio: tu carné estudiantil vence pronto. Acércate a la oficina de Bienestar para renovarlo.","otro"
"Asunto: Feria de prácticas profesionales. La oficina de Extensión invita a la Feria de Prácticas Profesionales 2027 con la participación de empresas como Sura, Globant y otras.","evento"
"Asunto: Reconocimiento aporte investigación. El comité de investigación reconoce su aporte sobresaliente al semillero de investigación. Continúe con ese excelente trabajo.","logro"
"Asunto: Semana de la Ingeniería. Del 22 al 8 de febrero se celebra la Semana de la Ingeniería con conferencias, talleres y actividades culturales.","evento"
"Asunto: Felicitaciones graduación con honores. Estimado estudiante, lo felicitamos por culminar sus estudios de Ingeniería Electrónica con honores académicos.","logro"
"Asunto: Foro académico data science. La facultad de ingenierías organiza foro académico sobre data science. Participación de docentes y estudiantes invitados.","evento"
"Asunto: Reporte de notas semestre. El reporte oficial de notas del semestre ya está disponible para descarga en el portal estudiantil.","nota"
"Asunto: Movilidad académica con MIT. Oportunidad única: programa de movilidad académica con el MIT. Selección por mérito académico y nivel de inglés.","intercambio"
"Asunto: Cambio de aula Resistencia de Materiales. La clase de Resistencia de Materiales con el profesor Catalina Ospina se traslada al aula B302 a partir de la próxima sesión.","anuncio"
"Asunto: Torneo deportivo interfacultades. Inscripciones abiertas para el torneo deportivo interfacultades en disciplinas como fútbol, voleibol y tenis de mesa.","evento"
"Asunto: Nueva tarea en Microsoft Teams - Máquinas Eléctricas. Apreciado estudiante, el docente Sebastián Arango ha publicado una nueva actividad para la materia Máquinas Eléctricas. Fecha límite de entrega: sábado 4 de agosto. Por favor revisar la guía adjunta.","tarea"
"Asunto: Aviso importante - Pagos. Recordatorio: el plazo para el pago de matrícula del periodo 2026-2 vence el 6 de febrero.","anuncio"
"Asunto: Quiz programado Bases de Datos. Recordatorio: el próximo sábado se realizará el quiz 6 de Bases de Datos. Temas a evaluar: matrices. Material de apoyo disponible en Moodle.","tarea"
"Asunto: Notas finales Circuitos Eléctricos I. Las notas finales de Circuitos Eléctricos I ya están disponibles en SICAU. Plazo para reclamos: 3 días hábiles después de la publicación.","nota"
"Asunto: Solicitud certificado. Para solicitar tu certificado de notas, ingresa a SICAU y radica la solicitud. Tiempo de respuesta: 5 días hábiles.","otro"
"Asunto: Foro académico vehículos eléctricos. La facultad de ingenierías organiza foro académico sobre vehículos eléctricos. Participación de docentes y estudiantes invitados.","evento"
"Asunto: Nuevo menú cafetería. Te invitamos a conocer el nuevo menú de la cafetería universitaria. Opciones saludables y económicas para estudiantes.","otro"
"Asunto: Programa de tutorías. La oficina de Bienestar ofrece tutorías gratuitas en Resistencia de Materiales. Inscríbete antes del 5 de mayo.","otro"
"Asunto: Cambio de aula Inteligencia Artificial. La clase de Inteligencia Artificial con el profesor Catalina Ospina se traslada al aula C241 a partir de la próxima sesión.","anuncio"
"Asunto: Doble titulación con universidad de Japón. Nueva oportunidad: programa de doble titulación con la Universidad de Madrid en Japón. Reuniones informativas próximamente.","intercambio"
"Asunto: Nueva red WiFi campus. Se habilita la nueva red WiFi 'PB-Estudiantes' en todos los bloques. Ingrese con sus credenciales institucionales.","otro"
"Asunto: Atención psicológica gratuita. Bienestar Universitario ofrece atención psicológica gratuita a estudiantes. Solicita tu cita en la oficina.","otro"
"Asunto: Charla de emprendimiento. Egresados destacados del Pascual Bravo compartirán sus experiencias el martes 14 en el auditorio. Entrada libre.","evento"
"Asunto: Programa de intercambio con Milán. Estudiantes de Tecnología Mecánica, abierta convocatoria de intercambio con la Universidad de Milán. No requiere intermediario.","intercambio"
"Asunto: Beca DAAD para Alemania. La beca DAAD ofrece la posibilidad de estudiar un semestre en universidades alemanas. Postulaciones hasta el 10 de abril.","intercambio"
"Asunto: Entrega proyecto integrador. Recordatorio importante: la primera entrega del proyecto integrador de Ergonomía es este sábado 10 de julio. Subir avance en SICAU.","tarea"
"Asunto: Requisitos de grado actualizados. Los requisitos para optar al título de Ingeniería Eléctrica han sido actualizados. Consulta los nuevos lineamientos en la oficina de Registro.","anuncio"
"Asunto: Conferencia magistral - robótica. Conferencia magistral con expositor invitado de Bancolombia. Tema: 'Mujeres en STEM'. Cupo limitado.","evento"
"Asunto: Informe de laboratorio Hidráulica y Neumática. Profesor Natalia Zapata solicita el informe de la práctica 5 antes del 27 de diciembre. Formato APA, máximo 10 páginas.","tarea"
"Asunto: Cuestionario Ingeniería de Software. Cuestionario disponible en Canvas sobre los temas de redes neuronales. Fecha límite: miércoles a las 11:59 PM.","tarea"
"Asunto: Cierre temporal SICAU. El sistema SICAU estará en mantenimiento el lunes de 9:00 AM a 2:00 PM. Lamentamos los inconvenientes.","anuncio"
"Asunto: Encuesta de satisfacción. Apreciado estudiante, dedique 5 minutos a responder la encuesta de satisfacción institucional. Su opinión es muy importante para nosotros.","otro"
"Asunto: Resultado quiz Diseño Industrial I. El profesor Andrés Felipe Quintero publicó las notas del quiz 4 en SICAU. Revisa tu calificación.","nota"
"Asunto: Foro académico ciberseguridad. La facultad de ingenierías organiza foro académico sobre ciberseguridad. Participación de docentes y estudiantes invitados.","evento"
"Asunto: Torneo deportivo interfacultades. Inscripciones abiertas para el torneo deportivo interfacultades en disciplinas como fútbol, voleibol y tenis de mesa.","evento"
"Asunto: Feria del libro académico. Se realizará la Feria del Libro Académico con descuentos especiales en libros técnicos y de ingeniería.","evento"
"Asunto: Notas sustentación proyecto. Las notas de la sustentación del proyecto integrador fueron publicadas por el profesor Hernán Darío Pérez.","nota"
"Asunto: Convocatoria intercambio académico Japón. La oficina de Internacionalización del Pascual Bravo invita a participar en la convocatoria de intercambio con universidades de Japón para el periodo 2026-1.","intercambio"
"Asunto: Entrega informe final Hidráulica y Neumática. Profesor Hernán Darío Pérez recuerda que el informe final debe entregarse impreso y digital antes del 26 de enero.","tarea"
"Asunto: Programa de tutorías. La oficina de Bienestar ofrece tutorías gratuitas en Bases de Datos. Inscríbete antes del 7 de marzo.","otro"
"Asunto: Curso de verano internacional. Cursos de verano en universidades de Portugal con créditos homologables. Oportunidad de movilidad corta.","intercambio"
"Asunto: Coloquio de investigación. Estudiantes investigadores presentarán sus proyectos en el coloquio anual. martes 5 de octubre, auditorio menor.","evento"
"Asunto: Comunicado rectoral. Apreciada comunidad universitaria, el rector se permite informar nuevas disposiciones institucionales para el semestre 2027-1.","anuncio"
"Asunto: Rueda de negocios estudiantil. Oportunidad para estudiantes emprendedores: rueda de negocios con inversionistas el 10 de abril.","evento"
"Asunto: Cierre temporal SICAU. El sistema SICAU estará en mantenimiento el jueves de 11:00 AM a 2:00 PM. Lamentamos los inconvenientes.","anuncio"
"Asunto: Cambio de aula Machine Learning. La clase de Machine Learning con el profesor Jorge Iván Salazar se traslada al aula B247 a partir de la próxima sesión.","anuncio"
"Asunto: Cuestionario Desarrollo Web. Cuestionario disponible en SICAU sobre los temas de redes neuronales. Fecha límite: martes a las 11:59 PM.","tarea"
"Asunto: Renovación carné estudiantil. Recordatorio: tu carné estudiantil vence pronto. Acércate a la oficina de Bienestar para renovarlo.","otro"
"Asunto: Quiz programado Algebra Lineal. Recordatorio: el próximo jueves se realizará el quiz 8 de Algebra Lineal. Temas a evaluar: termodinámica. Material de apoyo disponible en Moodle.","tarea"
"Asunto: Calificación habilitación Resistencia de Materiales. Estudiante, tu calificación de la habilitación de Resistencia de Materiales fue publicada. Consulta SICAU.","nota"
"Asunto: Cuestionario Química General. Cuestionario disponible en Canvas sobre los temas de recursividad. Fecha límite: lunes a las 11:59 PM.","tarea"
"Asunto: Beca completa estudios exterior. Convocatoria para beca completa de estudios en universidades de Japón. Cubre matrícula, manutención y tiquetes.","intercambio"
"Asunto: Calificación examen final. Puedes consultar tu nota del examen final de Inglés I en el portal estudiantil. Cualquier reclamación debe radicarse antes del 25 de mayo.","nota"
"Asunto: Lectura obligatoria Electrónica Digital. Para la próxima clase de Electrónica Digital con el profesor Sandra Milena López, deben haber leído el capítulo 3 sobre derivadas. Habrá control de lectura.","tarea"
"Asunto: Informe de laboratorio Cálculo II. Profesor Juan Pablo Vélez solicita el informe de la práctica 1 antes del 22 de octubre. Formato APA, máximo 10 páginas.","tarea"
"Asunto: Promedio acumulado actualizado. Tu promedio acumulado fue actualizado tras el cierre del periodo. Consulta tu situación académica en SICAU.","nota"
"Asunto: Parcial 2 Ingeniería de Software. El segundo parcial de Ingeniería de Software será el sábado 27 de agosto. Temas: matrices. Llevar calculadora y documento de identidad.","tarea"
"Asunto: Comunicado rectoral. Apreciada comunidad universitaria, el rector se permite informar nuevas disposiciones institucionales para el semestre 2027-1.","anuncio"
"Asunto: Selección lista de honor. Hemos publicado la lista de honor del semestre y usted aparece en ella. Felicitaciones por su excelencia académica.","logro"
"Asunto: Selección lista de honor. Hemos publicado la lista de honor del semestre y usted aparece en ella. Felicitaciones por su excelencia académica.","logro"
"Asunto: Taller 6 - Hidráulica y Neumática. Buenas tardes, en Microsoft Teams encuentran el taller número 6 correspondiente a la unidad de modelado entidad-relación. Entrega individual antes del martes 13 de octubre.","tarea"
"Asunto: Evento de bienvenida primer semestre. La Institución da la bienvenida a los nuevos estudiantes el próximo jueves con actividades de integración.","evento"
"Asunto: Feria del libro académico. Se realizará la Feria del Libro Académico con descuentos especiales en libros técnicos y de ingeniería.","evento"
"Asunto: Atención psicológica gratuita. Bienestar Universitario ofrece atención psicológica gratuita a estudiantes. Solicita tu cita en la oficina.","otro"
"Asunto: Doble titulación con universidad de Italia. Nueva oportunidad: programa de doble titulación con la Universidad de Milán en Italia. Reuniones informativas próximamente.","intercambio"
"Asunto: Resultado examen supletorio. El resultado del examen supletorio de Cálculo II ya fue cargado al sistema académico.","nota"
"Asunto: Encuesta clima organizacional. La oficina de Talento Humano realiza encuesta sobre clima organizacional. Tu participación es voluntaria pero valiosa.","otro"
"Asunto: Beca DAAD para Alemania. La beca DAAD ofrece la posibilidad de estudiar un semestre en universidades alemanas. Postulaciones hasta el 28 de noviembre.","intercambio"
"Asunto: Evento de bienvenida primer semestre. La Institución da la bienvenida a los nuevos estudiantes el próximo martes con actividades de integración.","evento"
"Asunto: Tarea Moodle - Modelado 3D. Se habilitó en Moodle la tarea sobre redes neuronales. Tienen hasta el sábado para resolverla. Solo un intento permitido.","tarea"
"Asunto: Modificación calendario académico. El calendario académico fue modificado. Nueva fecha de finalización del semestre: 14 de septiembre.","anuncio"
"Asunto: Sustentación proyecto Bases de Datos. La sustentación del proyecto de Bases de Datos será el 24 de agosto. Cada grupo tendrá 15 minutos para exponer.","tarea"
"Asunto: Invitación: Conferencia de Industria 4.0. El Pascual Bravo invita a toda la comunidad estudiantil a la conferencia 'Transformación digital en la industria' el jueves 20 de febrero a las 2:00 PM en el auditorio principal.","evento"
"Asunto: Evento de bienvenida primer semestre. La Institución da la bienvenida a los nuevos estudiantes el próximo sábado con actividades de integración.","evento"
"Asunto: Solicitud certificado. Para solicitar tu certificado de notas, ingresa a SICAU y radica la solicitud. Tiempo de respuesta: 5 días hábiles.","otro"
"Asunto: Paro académico. Se informa a la comunidad estudiantil que se ha decretado paro académico por celebración del día del maestro. Las clases se reanudarán el 13 de junio.","anuncio"
